Route_array,origin_point,destination_point,route_length,route_time,rain_length,heat_length,wind_length,rh_length,dataset_name,time_reading
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,857,257167716,588657,78409367,724,t00z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,1268,190822566,69250,57831256,724,t00z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,1109,254815755,133756,77259250,724,t00z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,872,233982552,211185,70884125,724,t00z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,885,251455541,166993,75295633,724,t00z
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,857,255768754,770066,82470174,724,t12z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,636,189892660,1004860,60927977,724,t12z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,849,253577163,1392619,81131482,724,t12z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,780,232781817,1221533,74518781,724,t12z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,838,250278513,1375915,79975325,724,t12z
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,70312,255951812,407264,79318759,725,t00z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,74483,190110125,379519,58274150,725,t00z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,87551,253780317,489522,77354780,725,t00z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,76600,232960038,447230,71150296,725,t00z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,99133,250576935,446714,77383273,725,t00z
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,6319,255761556,1151108,82619357,725,t12z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,27342,189923942,835656,60940119,725,t12z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,39187,253475202,1221727,81845538,725,t12z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,32330,232707304,1160281,75201227,725,t12z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,25877,250288064,1134647,80462464,725,t12z
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,920,256550238,1809282,81675671,726,t00z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,636,190254434,1284689,60096152,726,t00z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,872,254132799,1678462,80410179,726,t00z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,790,233328576,1472276,74003764,726,t00z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,838,250931584,1552659,79662500,726,t00z
"[266720519, 105254026, 266720646, 305906681, 305906582, 305906578, 288471023, 256170760, 261164835, 261164834, 261164832, 261164830, 261137084, 261137094, 287487912, 261164828, 256170708, 287486676, 287486914, 287487446, 369630898, 1316586904, 261164821, 261164820, 157719711, 316309147, 365061608, 12379462011, 12379462006, 316319260, 316324910, 316325745, 316325766, 316325886, 256170566, 317747338, 317747461, 316328114, 317749784, 317749777, 317750132, 317749680, 317750090, 157719704, 348167529, 845883305, 12379450100, 348167785, 348167897, 348168258, 348168276, 12379405633, 348168287, 294178233, 440907217, 440907340, 440907517, 12379405627, 12379405626, 12379405621, 440907587, 440912017, 157738013, 845883350, 4335994222, 12379405620, 4335994221, 440911721, 845883405, 315399580, 12379405612, 294178151, 315399721, 315399785, 12488799120, 294177965, 315398303, 315398373, 315398374, 294177835, 845887255, 4332497521, 294177760, 294177671, 294177641, 294177583, 294177629, 294177430, 10976515169, 368016410, 314782297, 157737999, 314782345, 314782378, 261207114, 364998447, 364998429, 261119844, 261259456, 364998390, 6489536423, 364998375, 364998372, 261163685, 7244111447, 261163684, 7244111446, 732818449, 261198377, 261137215, 261264102, 261252859, 261252857, 261252855]",266720519,261252855,11008,857,953,255381198,989298,79281298,726,t12z
"[261132201, 261132220, 261141638, 261141637, 6877560033, 263985422, 7413126430, 7413126428, 307940891, 307940886, 307940846, 11337127508, 307940832, 6969680327, 6969680316, 308435154, 7784238155, 9345003375, 12228522724, 7784238135, 7784238150, 7784238136, 7784238137, 7784238088, 7784238097, 7784238085, 7784238101, 7784238109, 263399268, 12228487119, 12228487117, 734844578, 366310702, 366310125, 296373826, 48991450, 8725822327, 296370790, 1594888735, 296370420, 296370597, 296369597, 296370896, 296370957, 296371089, 4255701177, 296371182, 296371197, 296371331, 377189560, 377189436, 369872302, 261170559, 261170558, 43510493, 2424399938, 261170556, 261170554, 43513140, 369882174, 258967486, 917879910, 918512685, 354053097, 346054074, 261170547, 4909750702, 261119854, 261170545, 261170544, 261170543, 261170542, 261163631, 261135333, 261163630, 261199542, 261235143, 261235141]",261132201,261235141,8189,636,707,189531435,773170,59161997,726,t12z
"[261154568, 261154567, 261154565, 1475142963, 306056279, 261154563, 261154562, 261154561, 307942778, 261154559, 308436765, 261139117, 261185512, 261187496, 289550451, 261269662, 261269660, 261098881, 261227593, 261223354, 261191232, 261269654, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313, 261123881, 1309728801, 261116789, 261116790]",261154568,261116790,10081,849,1160,253079522,995679,79401287,726,t12z
"[261270039, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 26703638, 8499816162, 26703640, 6318015021, 261223351, 261191260, 261288995, 369649711, 369649712, 369649696, 369649681, 369649684, 261269650, 261177936, 261147066, 768249764, 366227803, 48991444, 261269095, 261142592, 261215675, 261202963, 261096028, 261305961, 261302980, 5337853369, 12236907330, 261305959, 13032366904, 13032367130, 261114521, 1346008492, 4332627045, 261207092, 261245294, 261202194, 261119848, 261336479, 2470391253, 261163657, 261252030, 261198380, 408447506, 261222791, 261092571, 261252885, 261248405, 261281946, 261221002, 2042815119, 261230330, 261143251, 5140941323, 261132072, 1314248313]",261270039,1314248313,11384,780,984,232361877,946729,72868795,726,t12z
"[261207210, 261332105, 261262157, 261241167, 261186020, 261332107, 4081872088, 4081947337, 4081947336, 4081947335, 256170703, 306083048, 261250179, 306084604, 306084612, 256170556, 9194526725, 263372855, 263372613, 26703434, 26703435, 26703510, 26703625, 26703636, 287237745, 287237987, 287237906, 1272698314, 287238171, 709393174, 25779174, 4503178589, 4503178601, 709393461, 287261388, 258023775, 25779189, 10273279149, 287261610, 287261643, 257381547, 257381566, 257381556, 257381546, 11887891061, 619040194, 10945677472, 271162345, 258021253, 27477586, 28289897, 28289874, 28289857, 27446709, 27446710, 27446491, 27446490, 704976299, 13184555237, 33718418, 739120275]",261207210,739120275,15493,838,1336,249784214,846606,77901918,726,t12z
